type,name,rarity,date
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-11-03 12:53:10
Weapon,Skyrider Sword,3-Star,2020-11-03 12:53:16
Character,Sucrose,4-Star,2020-11-03 12:53:20
Weapon,Sharpshooter's Oath,3-Star,2020-11-04 22:44:17
Weapon,Debate Club,3-Star,2020-11-04 22:44:30
Character,Xingqiu,4-Star,2020-11-05 13:06:44
Weapon,Skyrider Sword,3-Star,2020-11-09 22:57:31
Weapon,Sharpshooter's Oath,3-Star,2020-11-09 22:57:36
Weapon,Slingshot,3-Star,2020-11-09 22:57:40
Weapon,Bloodtainted Greatsword,3-Star,2020-11-09 22:57:44
Weapon,Raven Bow,3-Star,2020-11-09 22:57:49
Weapon,Debate Club,3-Star,2020-11-09 22:57:54
Weapon,Slingshot,3-Star,2020-11-09 22:57:58
Weapon,Emerald Orb,3-Star,2020-11-09 22:58:03
Weapon,Bloodtainted Greatsword,3-Star,2020-11-09 22:58:09
Weapon,Favonius Lance,4-Star,2020-11-09 22:58:13
Weapon,Bloodtainted Greatsword,3-Star,2020-11-11 14:02:16
Weapon,Cool Steel,3-Star,2020-11-11 14:02:22
Weapon,Magic Guide,3-Star,2020-11-11 14:02:27
Weapon,Black Tassel,3-Star,2020-11-11 14:02:30
Weapon,Slingshot,3-Star,2020-11-11 14:02:34
Weapon,Ferrous Shadow,3-Star,2020-11-11 14:02:38
Character,Qiqi,5-Star,2020-11-11 14:02:43
Weapon,Bloodtainted Greatsword,3-Star,2020-11-11 22:56:52
Weapon,Raven Bow,3-Star,2020-11-16 13:27:46
Character,Beidou,4-Star,2020-11-16 13:27:51
Weapon,Cool Steel,3-Star,2020-11-16 13:27:58
Weapon,Harbinger of Dawn,3-Star,2020-11-16 13:28:01
Weapon,Slingshot,3-Star,2020-11-16 13:28:04
Weapon,Debate Club,3-Star,2020-11-16 13:28:07
Weapon,Ferrous Shadow,3-Star,2020-11-16 13:28:11
Weapon,Skyrider Sword,3-Star,2020-11-16 13:28:14
Weapon,Bloodtainted Greatsword,3-Star,2020-11-16 13:28:17
Weapon,Harbinger of Dawn,3-Star,2020-11-16 13:28:20
Weapon,Harbinger of Dawn,3-Star,2020-11-16 13:28:28
Character,Diona,4-Star,2020-11-16 21:22:37
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-11-16 21:22:46
Weapon,Sharpshooter's Oath,3-Star,2020-11-17 19:51:51
Weapon,Harbinger of Dawn,3-Star,2020-11-17 19:51:56
Weapon,Sharpshooter's Oath,3-Star,2020-11-17 19:52:01
Weapon,Sharpshooter's Oath,3-Star,2020-11-17 19:52:06
Weapon,Emerald Orb,3-Star,2020-11-17 19:52:10
Weapon,Ferrous Shadow,3-Star,2020-11-18 01:33:39
Weapon,Ferrous Shadow,3-Star,2020-11-18 12:15:17
Weapon,Black Tassel,3-Star,2020-11-18 13:08:19
Character,Diona,4-Star,2020-11-18 13:44:48
Weapon,Debate Club,3-Star,2020-11-18 19:52:50
Weapon,Magic Guide,3-Star,2020-11-19 12:44:48
Weapon,Cool Steel,3-Star,2020-11-19 13:05:31
Weapon,Sharpshooter's Oath,3-Star,2020-11-19 13:48:12
Weapon,Bloodtainted Greatsword,3-Star,2020-11-20 00:39:17
Weapon,Bloodtainted Greatsword,3-Star,2020-11-20 00:39:23
Weapon,Sharpshooter's Oath,3-Star,2020-11-20 00:39:26
Weapon,Emerald Orb,3-Star,2020-11-20 00:39:29
Weapon,Favonius Codex,4-Star,2020-11-20 15:40:22
Weapon,Slingshot,3-Star,2020-11-20 16:50:54
Weapon,Ferrous Shadow,3-Star,2020-11-21 19:16:22
Weapon,Skyrider Sword,3-Star,2020-11-21 19:16:28
Weapon,Black Tassel,3-Star,2020-11-22 12:59:09
Weapon,Sharpshooter's Oath,3-Star,2020-11-23 00:27:35
Weapon,Harbinger of Dawn,3-Star,2020-11-25 23:05:09
Weapon,Slingshot,3-Star,2020-11-26 00:18:06
Weapon,Sharpshooter's Oath,3-Star,2020-11-26 00:18:15
Character,Diona,4-Star,2020-11-26 15:32:33
Weapon,Emerald Orb,3-Star,2020-11-26 15:33:03
Weapon,Magic Guide,3-Star,2020-11-26 15:33:10
Weapon,Magic Guide,3-Star,2020-11-26 15:33:17
Weapon,Slingshot,3-Star,2020-11-26 17:00:26
Weapon,Harbinger of Dawn,3-Star,2020-11-26 19:30:16
Weapon,Ferrous Shadow,3-Star,2020-11-26 19:30:25
Weapon,Slingshot,3-Star,2020-11-27 00:52:52
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-11-27 15:06:39
Weapon,The Stringless,4-Star,2020-11-27 15:14:58
Weapon,Emerald Orb,3-Star,2020-11-27 17:23:22
Character,Beidou,4-Star,2020-11-27 17:23:31
Weapon,Magic Guide,3-Star,2020-11-27 21:06:38
Weapon,Ferrous Shadow,3-Star,2020-11-27 21:06:38
Weapon,Debate Club,3-Star,2020-11-27 21:06:38
Weapon,Bloodtainted Greatsword,3-Star,2020-11-27 21:06:38
Weapon,Black Tassel,3-Star,2020-11-27 21:06:38
Weapon,Ferrous Shadow,3-Star,2020-11-27 21:06:38
Weapon,Cool Steel,3-Star,2020-11-27 21:06:38
Weapon,Ferrous Shadow,3-Star,2020-11-27 21:06:38
Weapon,Slingshot,3-Star,2020-11-27 21:06:38
Character,Sucrose,4-Star,2020-11-27 21:06:38
Weapon,Emerald Orb,3-Star,2020-11-27 21:07:06
Weapon,Bloodtainted Greatsword,3-Star,2020-11-27 21:07:06
Weapon,Sharpshooter's Oath,3-Star,2020-11-27 21:07:06
Weapon,Magic Guide,3-Star,2020-11-27 21:07:06
Weapon,Harbinger of Dawn,3-Star,2020-11-27 21:07:06
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-11-27 21:07:06
Weapon,Skyrider Sword,3-Star,2020-11-27 21:07:06
Weapon,Cool Steel,3-Star,2020-11-27 21:07:06
Weapon,Bloodtainted Greatsword,3-Star,2020-11-27 21:07:06
Character,Ningguang,4-Star,2020-11-27 21:07:06
Weapon,Ferrous Shadow,3-Star,2020-12-01 18:08:57
Weapon,Harbinger of Dawn,3-Star,2020-12-01 18:09:02
Weapon,Black Tassel,3-Star,2020-12-01 18:09:44
Weapon,Skyrider Sword,3-Star,2020-12-01 18:09:59
Weapon,Magic Guide,3-Star,2020-12-01 18:10:07
Weapon,Ferrous Shadow,3-Star,2020-12-01 18:10:14
Weapon,Skyrider Sword,3-Star,2020-12-01 18:10:21
Weapon,Harbinger of Dawn,3-Star,2020-12-01 18:10:28
Character,Xinyan,4-Star,2020-12-01 18:10:35
Weapon,Skyrider Sword,3-Star,2020-12-01 18:10:54
Character,Zhongli,5-Star,2020-12-01 18:11:01
Weapon,Emerald Orb,3-Star,2020-12-01 18:11:28
Weapon,Bloodtainted Greatsword,3-Star,2020-12-01 18:11:39
Weapon,Black Tassel,3-Star,2020-12-01 18:11:46
Weapon,Ferrous Shadow,3-Star,2020-12-01 18:11:53
Weapon,Magic Guide,3-Star,2020-12-01 18:11:59
Weapon,Sharpshooter's Oath,3-Star,2020-12-02 23:27:27
Weapon,Emerald Orb,3-Star,2020-12-17 18:34:59
Character,Xinyan,4-Star,2020-12-17 18:35:06
Weapon,Emerald Orb,3-Star,2020-12-17 18:35:17
Weapon,Sharpshooter's Oath,3-Star,2020-12-17 18:35:28
Weapon,Bloodtainted Greatsword,3-Star,2020-12-17 18:36:40
Weapon,Ferrous Shadow,3-Star,2020-12-17 18:36:48
Weapon,Skyrider Sword,3-Star,2020-12-17 18:36:55
Weapon,Debate Club,3-Star,2020-12-17 18:37:04
Weapon,Bloodtainted Greatsword,3-Star,2020-12-17 18:37:12
Weapon,Black Tassel,3-Star,2020-12-17 18:37:19
Weapon,Bloodtainted Greatsword,3-Star,2020-12-17 18:38:20
Character,Xinyan,4-Star,2020-12-17 18:38:25
Weapon,Bloodtainted Greatsword,3-Star,2020-12-17 18:39:51
Weapon,Ferrous Shadow,3-Star,2020-12-17 18:39:58
