type,name,rarity,date
Weapon,Harbinger of Dawn,3-Star,2020-12-18 14:53:16
Weapon,Ferrous Shadow,3-Star,2020-12-21 20:35:44
Character,Xinyan,4-Star,2020-12-23 14:11:57
Weapon,Debate Club,3-Star,2020-12-23 14:12:17
Weapon,Debate Club,3-Star,2020-12-23 14:12:24
Weapon,Emerald Orb,3-Star,2020-12-23 14:12:28
Weapon,Harbinger of Dawn,3-Star,2020-12-23 14:12:35
Weapon,Black Tassel,3-Star,2020-12-23 14:12:41
Weapon,Emerald Orb,3-Star,2020-12-23 14:12:47
Character,Fischl,4-Star,2020-12-23 14:12:55
Weapon,Raven Bow,3-Star,2020-12-23 14:13:21
Weapon,Slingshot,3-Star,2020-12-23 14:13:28
Weapon,Magic Guide,3-Star,2020-12-23 14:13:34
Weapon,Magic Guide,3-Star,2020-12-23 14:13:41
Weapon,Bloodtainted Greatsword,3-Star,2020-12-23 14:13:51
Weapon,Black Tassel,3-Star,2020-12-23 14:13:57
Weapon,Debate Club,3-Star,2020-12-23 14:14:03
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-12-23 14:14:09
Weapon,Favonius Sword,4-Star,2020-12-23 14:14:15
Weapon,Emerald Orb,3-Star,2020-12-23 14:14:34
Weapon,Cool Steel,3-Star,2020-12-23 14:14:42
Weapon,Emerald Orb,3-Star,2020-12-23 14:14:49
Weapon,Black Tassel,3-Star,2020-12-23 14:14:56
Weapon,Magic Guide,3-Star,2020-12-23 14:15:02
Weapon,Sharpshooter's Oath,3-Star,2020-12-23 14:15:09
Weapon,Debate Club,3-Star,2020-12-23 14:15:16
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-12-23 15:10:00
Character,Xingqiu,4-Star,2020-12-23 18:54:50
Weapon,Sharpshooter's Oath,3-Star,2020-12-23 19:24:07
Character,Noelle,4-Star,2020-12-26 17:02:39
Weapon,Ferrous Shadow,3-Star,2020-12-27 00:44:58
Weapon,Emerald Orb,3-Star,2020-12-29 01:27:58
Weapon,Harbinger of Dawn,3-Star,2020-12-29 02:40:11
Weapon,Cool Steel,3-Star,2020-12-29 02:40:19
Weapon,Slingshot,3-Star,2020-12-30 01:10:28
Weapon,Magic Guide,3-Star,2020-12-31 19:11:42
Weapon,Sacrificial Fragments,4-Star,2020-12-31 19:11:51
Weapon,Skyrider Sword,3-Star,2020-12-31 19:12:05
Weapon,Slingshot,3-Star,2020-12-31 19:12:11
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-12-31 19:12:18
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-12-31 19:12:25
Weapon,Bloodtainted Greatsword,3-Star,2020-12-31 19:12:29
Character,Qiqi,5-Star,2020-12-31 19:12:35
