type,name,rarity,date,banner
Weapon,Skyrider Sword,3-Star,2020-11-11 21:42:34,char
Weapon,Emerald Orb,3-Star,2020-11-11 21:42:34,char
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-11-11 21:42:34,char
Weapon,Ferrous Shadow,3-Star,2020-11-11 21:42:34,char
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-11-11 21:42:34,char
Weapon,Emerald Orb,3-Star,2020-11-11 21:42:34,char
Character,Ningguang,4-Star,2020-11-11 21:42:34,char
Weapon,Debate Club,3-Star,2020-11-11 21:42:34,char
Weapon,Emerald Orb,3-Star,2020-11-11 21:43:20,char
Weapon,Debate Club,3-Star,2020-11-11 21:43:20,char
Weapon,Ferrous Shadow,3-Star,2020-11-11 21:43:20,char
Weapon,Magic Guide,3-Star,2020-11-11 21:43:20,char
Character,Diona,4-Star,2020-11-11 21:43:20,char
Weapon,Skyrider Sword,3-Star,2020-11-11 21:43:20,char
Weapon,Bloodtainted Greatsword,3-Star,2020-11-11 21:43:20,char
Weapon,Emerald Orb,3-Star,2020-11-11 21:43:20,char
Weapon,Sharpshooter's Oath,3-Star,2020-11-11 21:43:20,char
Weapon,Raven Bow,3-Star,2020-11-11 21:43:20,char
Weapon,Bloodtainted Greatsword,3-Star,2020-11-11 21:43:59,char
Weapon,Skyrider Sword,3-Star,2020-11-11 21:43:59,char
Weapon,Raven Bow,3-Star,2020-11-11 21:43:59,char
Weapon,Slingshot,3-Star,2020-11-11 21:43:59,char
Weapon,Raven Bow,3-Star,2020-11-11 21:43:59,char
Weapon,Cool Steel,3-Star,2020-11-11 21:43:59,char
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-11-11 21:43:59,char
Weapon,Sacrificial Sword,4-Star,2020-11-11 21:43:59,char
Weapon,Raven Bow,3-Star,2020-11-11 21:43:59,char
Weapon,Black Tassel,3-Star,2020-11-11 21:43:59,char
Weapon,Bloodtainted Greatsword,3-Star,2020-11-14 11:01:52,char
Weapon,Magic Guide,3-Star,2020-11-14 11:01:52,char
Weapon,Black Tassel,3-Star,2020-11-14 11:01:52,char
Weapon,Ferrous Shadow,3-Star,2020-11-14 11:01:52,char
Weapon,Debate Club,3-Star,2020-11-14 11:01:52,char
Weapon,Slingshot,3-Star,2020-11-14 11:01:52,char
Character,Diona,4-Star,2020-11-14 11:01:52,char
Weapon,Harbinger of Dawn,3-Star,2020-11-14 11:01:52,char
Weapon,Emerald Orb,3-Star,2020-11-14 11:01:52,char
Weapon,Bloodtainted Greatsword,3-Star,2020-11-14 11:01:52,char
Weapon,The Bell,4-Star,2020-11-15 11:46:50,char
Weapon,Emerald Orb,3-Star,2020-11-15 11:46:50,char
Weapon,Bloodtainted Greatsword,3-Star,2020-11-15 11:46:50,char
Weapon,Black Tassel,3-Star,2020-11-15 11:46:50,char
Weapon,Skyrider Sword,3-Star,2020-11-15 11:46:50,char
Weapon,Cool Steel,3-Star,2020-11-15 11:46:50,char
Weapon,Bloodtainted Greatsword,3-Star,2020-11-15 11:46:50,char
Weapon,Skyrider Sword,3-Star,2020-11-15 11:46:50,char
Weapon,Black Tassel,3-Star,2020-11-15 11:46:50,char
Weapon,Debate Club,3-Star,2020-11-15 11:46:50,char
Weapon,Skyrider Sword,3-Star,2020-11-15 11:47:40,char
Weapon,Bloodtainted Greatsword,3-Star,2020-11-15 11:47:40,char
Weapon,Bloodtainted Greatsword,3-Star,2020-11-15 11:47:40,char
Weapon,Debate Club,3-Star,2020-11-15 11:47:40,char
Weapon,Bloodtainted Greatsword,3-Star,2020-11-15 11:47:40,char
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-11-15 11:47:40,char
Weapon,Cool Steel,3-Star,2020-11-15 11:47:40,char
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-11-15 11:47:40,char
Character,Beidou,4-Star,2020-11-15 11:47:40,char
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-11-15 11:47:40,char
Weapon,Magic Guide,3-Star,2020-11-21 21:48:30,char
Weapon,Magic Guide,3-Star,2020-11-21 21:48:30,char
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-11-21 21:48:30,char
Weapon,Slingshot,3-Star,2020-11-21 21:48:30,char
Weapon,Raven Bow,3-Star,2020-11-21 21:48:30,char
Weapon,Favonius Greatsword,4-Star,2020-11-21 21:48:30,char
Weapon,Magic Guide,3-Star,2020-11-21 21:48:30,char
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-11-21 21:48:30,char
Weapon,Bloodtainted Greatsword,3-Star,2020-11-21 21:48:30,char
Weapon,Cool Steel,3-Star,2020-11-21 21:48:30,char
Weapon,Emerald Orb,3-Star,2020-11-21 21:49:26,char
Weapon,Raven Bow,3-Star,2020-11-21 21:49:26,char
Weapon,Bloodtainted Greatsword,3-Star,2020-11-21 21:49:26,char
Weapon,Raven Bow,3-Star,2020-11-21 21:49:26,char
Character,Tartaglia,5-Star,2020-11-21 21:49:26,char
Weapon,Debate Club,3-Star,2020-11-21 21:49:26,char
Weapon,Sharpshooter's Oath,3-Star,2020-11-21 21:49:26,char
Weapon,Magic Guide,3-Star,2020-11-21 21:49:26,char
Weapon,Bloodtainted Greatsword,3-Star,2020-11-21 21:49:26,char
Character,Diona,4-Star,2020-11-21 21:49:26,char
Weapon,Sharpshooter's Oath,3-Star,2020-11-22 11:56:04,weapon
Weapon,Ferrous Shadow,3-Star,2020-11-22 11:56:18,weapon
Weapon,Emerald Orb,3-Star,2020-11-22 11:56:31,weapon
Weapon,Cool Steel,3-Star,2020-11-22 12:10:23,weapon
Weapon,Ferrous Shadow,3-Star,2020-11-22 12:10:23,weapon
Weapon,Ferrous Shadow,3-Star,2020-11-22 12:10:23,weapon
Weapon,Magic Guide,3-Star,2020-11-22 12:10:23,weapon
Weapon,Sharpshooter's Oath,3-Star,2020-11-22 12:10:23,weapon
Weapon,Cool Steel,3-Star,2020-11-22 12:10:23,weapon
Character,Ningguang,4-Star,2020-11-22 12:10:23,weapon
Weapon,Emerald Orb,3-Star,2020-11-22 12:10:23,weapon
Weapon,Raven Bow,3-Star,2020-11-22 12:10:23,weapon
Weapon,Magic Guide,3-Star,2020-11-22 12:10:23,weapon
Weapon,Rust,4-Star,2020-11-22 17:20:02,weapon
Weapon,Emerald Orb,3-Star,2020-11-22 17:20:32,weapon
Weapon,Rainslasher,4-Star,2020-11-22 17:21:13,weapon
Weapon,Slingshot,3-Star,2020-11-22 17:21:57,weapon
Weapon,Slingshot,3-Star,2020-11-22 17:22:28,weapon
Weapon,Harbinger of Dawn,3-Star,2020-11-22 17:23:01,weapon
Weapon,Magic Guide,3-Star,2020-11-22 17:23:23,weapon
Weapon,Raven Bow,3-Star,2020-11-22 17:24:38,weapon
Weapon,Magic Guide,3-Star,2020-11-22 17:25:18,weapon
Weapon,Magic Guide,3-Star,2020-11-22 17:26:36,weapon
Weapon,Harbinger of Dawn,3-Star,2020-11-22 18:30:16,weapon
Weapon,Rainslasher,4-Star,2020-11-22 18:30:41,weapon
