type,name,rarity,date
Weapon,Bloodtainted Greatsword,3-Star,2020-12-23 21:09:03
Weapon,Bloodtainted Greatsword,3-Star,2020-12-25 16:16:14
Weapon,Cool Steel,3-Star,2020-12-25 16:19:12
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-12-25 16:22:17
Weapon,Lion's Roar,4-Star,2020-12-25 18:40:51
Weapon,Debate Club,3-Star,2020-12-26 15:38:10
Weapon,Bloodtainted Greatsword,3-Star,2020-12-26 15:38:25
Weapon,Bloodtainted Greatsword,3-Star,2020-12-26 16:58:05
Weapon,Black Tassel,3-Star,2020-12-26 16:58:11
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-12-26 16:58:20
Weapon,Harbinger of Dawn,3-Star,2020-12-26 16:58:27
Weapon,Magic Guide,3-Star,2020-12-26 16:58:36
Weapon,Black Tassel,3-Star,2020-12-28 12:26:06
Weapon,Rainslasher,4-Star,2020-12-30 15:31:13
Weapon,Sharpshooter's Oath,3-Star,2020-12-31 15:45:25
Weapon,Bloodtainted Greatsword,3-Star,2021-01-01 14:52:46
Weapon,Magic Guide,3-Star,2021-01-01 14:52:55
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2021-01-01 14:53:06
Weapon,Cool Steel,3-Star,2021-01-01 14:53:18
Weapon,Magic Guide,3-Star,2021-01-01 14:53:32
Weapon,Debate Club,3-Star,2021-01-01 15:06:33
