type,name,rarity,date
Weapon,Emerald Orb,3-Star,2020-11-08 03:00:24
Weapon,Cool Steel,3-Star,2020-11-08 20:32:42
Character,Noelle,4-Star,2020-11-09 02:00:06
Weapon,Black Tassel,3-Star,2020-11-11 23:59:27
Weapon,Magic Guide,3-Star,2020-11-11 23:59:43
Weapon,Slingshot,3-Star,2020-11-12 00:00:07
Weapon,Emerald Orb,3-Star,2020-11-12 00:00:23
Weapon,Raven Bow,3-Star,2020-11-12 00:00:37
Character,Beidou,4-Star,2020-11-12 00:00:57
Weapon,Emerald Orb,3-Star,2020-11-12 00:16:19
Weapon,Bloodtainted Greatsword,3-Star,2020-11-12 00:17:51
Weapon,Black Tassel,3-Star,2020-11-13 02:01:31
Weapon,Bloodtainted Greatsword,3-Star,2020-11-13 02:01:44
Weapon,Debate Club,3-Star,2020-11-14 02:56:52
Weapon,Raven Bow,3-Star,2020-11-14 19:12:30
Weapon,Slingshot,3-Star,2020-11-14 19:34:39
Weapon,Black Tassel,3-Star,2020-11-15 01:49:13
Weapon,Black Tassel,3-Star,2020-11-15 22:17:04
Character,Ningguang,4-Star,2020-11-16 01:31:27
Character,Beidou,4-Star,2020-11-17 00:45:12
Weapon,Skyrider Sword,3-Star,2020-11-18 00:41:28
Weapon,Black Tassel,3-Star,2020-11-18 00:41:42
Weapon,Harbinger of Dawn,3-Star,2020-11-18 01:23:55
Weapon,Black Tassel,3-Star,2020-11-18 23:23:21
Weapon,Black Tassel,3-Star,2020-11-19 01:00:46
Weapon,Harbinger of Dawn,3-Star,2020-11-19 01:30:25
Weapon,Cool Steel,3-Star,2020-11-20 00:16:42
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-11-20 02:39:24
Weapon,Harbinger of Dawn,3-Star,2020-11-20 23:47:22
Weapon,Dragon's Bane,4-Star,2020-11-21 20:16:28
Weapon,Harbinger of Dawn,3-Star,2020-11-21 21:45:38
Weapon,Cool Steel,3-Star,2020-11-22 03:31:15
Weapon,Slingshot,3-Star,2020-11-22 18:49:03
Weapon,Emerald Orb,3-Star,2020-11-23 02:30:29
Weapon,Harbinger of Dawn,3-Star,2020-11-24 01:19:16
Weapon,Raven Bow,3-Star,2020-11-24 23:43:32
Character,Qiqi,5-Star,2020-11-25 14:22:22
Weapon,Slingshot,3-Star,2020-12-01 18:02:50
Character,Chongyun,4-Star,2020-12-01 18:02:50
Character,Razor,4-Star,2020-12-01 18:02:50
Weapon,Slingshot,3-Star,2020-12-01 18:02:50
Weapon,Debate Club,3-Star,2020-12-01 18:02:50
Weapon,Sharpshooter's Oath,3-Star,2020-12-01 18:02:50
Weapon,Slingshot,3-Star,2020-12-01 18:02:50
Weapon,Sharpshooter's Oath,3-Star,2020-12-01 18:02:50
Weapon,Sharpshooter's Oath,3-Star,2020-12-01 18:02:50
Weapon,Harbinger of Dawn,3-Star,2020-12-01 18:02:50
Character,Zhongli,5-Star,2020-12-04 00:48:02
Weapon,Debate Club,3-Star,2020-12-04 00:48:21
Character,Xinyan,4-Star,2020-12-04 00:48:34
Weapon,Harbinger of Dawn,3-Star,2020-12-04 00:48:52
Weapon,Bloodtainted Greatsword,3-Star,2020-12-04 00:49:07
Weapon,Harbinger of Dawn,3-Star,2020-12-04 00:49:20
Weapon,Debate Club,3-Star,2020-12-04 00:49:32
Weapon,Raven Bow,3-Star,2020-12-04 00:49:43
Weapon,Harbinger of Dawn,3-Star,2020-12-04 00:49:55
Weapon,Cool Steel,3-Star,2020-12-05 00:10:23
Weapon,Ferrous Shadow,3-Star,2020-12-05 16:17:27
Weapon,Raven Bow,3-Star,2020-12-05 17:17:10
Weapon,Favonius Greatsword,4-Star,2020-12-06 01:42:08
Weapon,Harbinger of Dawn,3-Star,2020-12-06 17:33:12
Weapon,Debate Club,3-Star,2020-12-06 17:33:24
Weapon,Black Tassel,3-Star,2020-12-06 17:33:35
Weapon,Cool Steel,3-Star,2020-12-06 22:51:42
Weapon,Debate Club,3-Star,2020-12-07 21:32:25
Weapon,Raven Bow,3-Star,2020-12-07 21:32:40
Weapon,Slingshot,3-Star,2020-12-08 01:31:03
Weapon,Slingshot,3-Star,2020-12-08 13:33:22
Character,Chongyun,4-Star,2020-12-08 18:07:29
Weapon,Ferrous Shadow,3-Star,2020-12-09 00:48:56
Weapon,Emerald Orb,3-Star,2020-12-10 00:53:30
Weapon,Raven Bow,3-Star,2020-12-10 14:16:09
Weapon,Black Tassel,3-Star,2020-12-10 22:26:33
Weapon,Sharpshooter's Oath,3-Star,2020-12-11 22:03:40
Weapon,Slingshot,3-Star,2020-12-11 22:03:57
Weapon,Debate Club,3-Star,2020-12-12 03:00:27
Weapon,Cool Steel,3-Star,2020-12-12 12:05:59
Weapon,Ferrous Shadow,3-Star,2020-12-12 17:30:06
Character,Razor,4-Star,2020-12-13 02:38:49
Weapon,Raven Bow,3-Star,2020-12-16 23:09:07
Weapon,Magic Guide,3-Star,2020-12-16 23:09:07
Weapon,Sharpshooter's Oath,3-Star,2020-12-16 23:09:07
Character,Xinyan,4-Star,2020-12-16 23:09:07
Weapon,Debate Club,3-Star,2020-12-16 23:09:07
Weapon,Magic Guide,3-Star,2020-12-16 23:09:07
Weapon,Bloodtainted Greatsword,3-Star,2020-12-16 23:09:07
Weapon,Bloodtainted Greatsword,3-Star,2020-12-16 23:09:07
Weapon,Black Tassel,3-Star,2020-12-16 23:09:07
Weapon,Sharpshooter's Oath,3-Star,2020-12-16 23:09:07
Weapon,Skyrider Sword,3-Star,2020-12-17 02:40:56
Weapon,Bloodtainted Greatsword,3-Star,2020-12-17 02:41:11
Weapon,The Flute,4-Star,2020-12-17 02:41:25
Character,Razor,4-Star,2020-12-17 02:41:54
Weapon,Emerald Orb,3-Star,2020-12-18 00:13:38
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-12-18 00:13:38
Weapon,Black Tassel,3-Star,2020-12-18 00:13:38
Weapon,Emerald Orb,3-Star,2020-12-18 00:13:38
Weapon,Raven Bow,3-Star,2020-12-18 00:13:38
Weapon,Cool Steel,3-Star,2020-12-18 00:13:38
Weapon,Raven Bow,3-Star,2020-12-18 00:13:38
Weapon,Emerald Orb,3-Star,2020-12-18 00:13:38
Character,Barbara,4-Star,2020-12-18 00:13:38
Weapon,Skyrider Sword,3-Star,2020-12-18 00:13:38
Weapon,Black Tassel,3-Star,2020-12-19 16:07:19
Weapon,Bloodtainted Greatsword,3-Star,2020-12-20 01:38:21
Character,Xinyan,4-Star,2020-12-20 01:57:40
