type,name,rarity,date,banner
Weapon,Bloodtainted Greatsword,3-Star,2020-10-29 00:46:22,char
Weapon,Harbinger of Dawn,3-Star,2020-10-29 00:46:22,char
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-10-29 00:46:22,char
Weapon,Cool Steel,3-Star,2020-10-29 00:46:22,char
Weapon,Skyrider Sword,3-Star,2020-10-29 00:46:22,char
Weapon,Debate Club,3-Star,2020-10-29 00:46:22,char
Character,Xingqiu,4-Star,2020-10-29 00:46:22,char
Weapon,Emerald Orb,3-Star,2020-10-29 00:46:22,char
Weapon,Skyrider Sword,3-Star,2020-10-29 00:51:44,char
Weapon,Bloodtainted Greatsword,3-Star,2020-10-29 00:52:04,char
Weapon,Slingshot,3-Star,2020-10-30 01:24:33,char
Weapon,Ferrous Shadow,3-Star,2020-11-01 02:25:34,char
Weapon,Skyrider Sword,3-Star,2020-11-02 00:12:54,char
Weapon,Raven Bow,3-Star,2020-11-02 00:13:13,char
Weapon,Ferrous Shadow,3-Star,2020-11-03 01:34:55,char
Weapon,Magic Guide,3-Star,2020-11-04 01:14:01,char
Weapon,Slingshot,3-Star,2020-11-05 00:59:52,char
Weapon,Eye of Perception,4-Star,2020-11-06 02:04:52,char
Weapon,Slingshot,3-Star,2020-11-07 01:24:49,char
Weapon,Magic Guide,3-Star,2020-11-07 03:05:49,char
Weapon,Debate Club,3-Star,2020-11-07 03:06:32,char
Weapon,Slingshot,3-Star,2020-11-07 03:07:10,char
Weapon,Black Tassel,3-Star,2020-11-07 03:07:47,char
Weapon,Raven Bow,3-Star,2020-11-07 03:08:26,char
Weapon,Black Tassel,3-Star,2020-11-07 21:42:10,char
Weapon,Emerald Orb,3-Star,2020-11-08 03:00:24,char
Weapon,Cool Steel,3-Star,2020-11-08 20:32:42,char
Weapon,Debate Club,3-Star,2020-11-08 20:33:14,permanent
Weapon,Black Tassel,3-Star,2020-11-08 20:33:14,permanent
Weapon,Skyrider Sword,3-Star,2020-11-08 20:33:14,permanent
Weapon,Magic Guide,3-Star,2020-11-08 20:33:14,permanent
Weapon,Skyrider Sword,3-Star,2020-11-08 20:33:14,permanent
Weapon,Slingshot,3-Star,2020-11-08 20:33:14,permanent
Weapon,Emerald Orb,3-Star,2020-11-08 20:33:14,permanent
Character,Xingqiu,4-Star,2020-11-08 20:33:14,permanent
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-11-08 20:33:14,permanent
Weapon,Raven Bow,3-Star,2020-11-08 20:33:14,permanent
Character,Noelle,4-Star,2020-11-09 02:00:06,char
Weapon,Black Tassel,3-Star,2020-11-11 23:59:27,char
Weapon,Magic Guide,3-Star,2020-11-11 23:59:43,char
Weapon,Slingshot,3-Star,2020-11-12 00:00:07,char
Weapon,Emerald Orb,3-Star,2020-11-12 00:00:23,char
Weapon,Raven Bow,3-Star,2020-11-12 00:00:37,char
Character,Beidou,4-Star,2020-11-12 00:00:57,char
Weapon,Emerald Orb,3-Star,2020-11-12 00:16:19,char
Weapon,Bloodtainted Greatsword,3-Star,2020-11-12 00:17:51,char
Weapon,Emerald Orb,3-Star,2020-11-12 00:18:41,permanent
Weapon,Skyrider Sword,3-Star,2020-11-12 00:18:58,permanent
Weapon,Emerald Orb,3-Star,2020-11-12 00:19:25,permanent
Weapon,Slingshot,3-Star,2020-11-12 00:19:40,permanent
Weapon,Slingshot,3-Star,2020-11-12 00:19:55,permanent
Weapon,Emerald Orb,3-Star,2020-11-12 00:20:10,permanent
Weapon,Skyrider Sword,3-Star,2020-11-12 00:21:09,permanent
Weapon,Black Tassel,3-Star,2020-11-13 02:01:31,char
Weapon,Bloodtainted Greatsword,3-Star,2020-11-13 02:01:44,char
Weapon,Debate Club,3-Star,2020-11-14 02:56:52,char
Weapon,Rainslasher,4-Star,2020-11-14 02:57:54,permanent
Weapon,Raven Bow,3-Star,2020-11-14 19:12:30,char
Weapon,Slingshot,3-Star,2020-11-14 19:34:39,char
Weapon,Black Tassel,3-Star,2020-11-15 01:49:13,char
Weapon,Black Tassel,3-Star,2020-11-15 22:17:04,char
Character,Ningguang,4-Star,2020-11-16 01:31:27,char
Weapon,Harbinger of Dawn,3-Star,2020-11-16 01:31:55,permanent
Weapon,Magic Guide,3-Star,2020-11-16 01:32:07,permanent
Character,Beidou,4-Star,2020-11-17 00:45:12,char
Weapon,Skyrider Sword,3-Star,2020-11-18 00:41:28,char
Weapon,Black Tassel,3-Star,2020-11-18 00:41:42,char
Weapon,Harbinger of Dawn,3-Star,2020-11-18 01:23:55,char
Weapon,Black Tassel,3-Star,2020-11-18 23:23:21,char
Weapon,Black Tassel,3-Star,2020-11-19 01:00:46,char
Weapon,Harbinger of Dawn,3-Star,2020-11-19 01:30:25,char
Weapon,Cool Steel,3-Star,2020-11-20 00:16:42,char
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-11-20 02:39:24,char
Weapon,Harbinger of Dawn,3-Star,2020-11-20 23:47:22,char
Weapon,Dragon's Bane,4-Star,2020-11-21 20:16:28,char
Weapon,Harbinger of Dawn,3-Star,2020-11-21 21:45:38,char
Weapon,Cool Steel,3-Star,2020-11-22 03:31:15,char
Weapon,Slingshot,3-Star,2020-11-22 18:49:03,char
Weapon,Emerald Orb,3-Star,2020-11-23 02:30:29,char
Weapon,Harbinger of Dawn,3-Star,2020-11-24 01:19:16,char
Weapon,Raven Bow,3-Star,2020-11-24 23:43:32,char
Character,Qiqi,5-Star,2020-11-25 14:22:22,char
Weapon,Emerald Orb,3-Star,2020-11-27 03:28:30,permanent
Weapon,Raven Bow,3-Star,2020-11-27 03:29:09,permanent
Weapon,Emerald Orb,3-Star,2020-12-01 02:10:20,permanent
Weapon,Harbinger of Dawn,3-Star,2020-12-01 02:10:34,permanent
Weapon,Slingshot,3-Star,2020-12-01 18:02:50,char
Character,Chongyun,4-Star,2020-12-01 18:02:50,char
Character,Razor,4-Star,2020-12-01 18:02:50,char
Weapon,Slingshot,3-Star,2020-12-01 18:02:50,char
Weapon,Debate Club,3-Star,2020-12-01 18:02:50,char
Weapon,Sharpshooter's Oath,3-Star,2020-12-01 18:02:50,char
Weapon,Slingshot,3-Star,2020-12-01 18:02:50,char
Weapon,Sharpshooter's Oath,3-Star,2020-12-01 18:02:50,char
Weapon,Sharpshooter's Oath,3-Star,2020-12-01 18:02:50,char
Weapon,Harbinger of Dawn,3-Star,2020-12-01 18:02:50,char
Weapon,Cool Steel,3-Star,2020-12-02 00:44:24,permanent
Weapon,Slingshot,3-Star,2020-12-02 00:44:59,permanent
Character,Chongyun,4-Star,2020-12-02 23:22:05,permanent
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-12-04 00:45:11,permanent
Weapon,Harbinger of Dawn,3-Star,2020-12-04 00:45:53,permanent
Character,Zhongli,5-Star,2020-12-04 00:48:02,char
Weapon,Debate Club,3-Star,2020-12-04 00:48:21,char
Character,Xinyan,4-Star,2020-12-04 00:48:34,char
Weapon,Harbinger of Dawn,3-Star,2020-12-04 00:48:52,char
Weapon,Bloodtainted Greatsword,3-Star,2020-12-04 00:49:07,char
Weapon,Harbinger of Dawn,3-Star,2020-12-04 00:49:20,char
Weapon,Debate Club,3-Star,2020-12-04 00:49:32,char
Weapon,Raven Bow,3-Star,2020-12-04 00:49:43,char
Weapon,Harbinger of Dawn,3-Star,2020-12-04 00:49:55,char
Weapon,Cool Steel,3-Star,2020-12-05 00:10:23,char
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-12-05 00:11:10,permanent
Weapon,Cool Steel,3-Star,2020-12-05 00:11:23,permanent
Weapon,Ferrous Shadow,3-Star,2020-12-05 16:17:27,char
Weapon,Raven Bow,3-Star,2020-12-05 17:17:10,char
Weapon,Favonius Greatsword,4-Star,2020-12-06 01:42:08,char
Weapon,Slingshot,3-Star,2020-12-06 02:53:58,permanent
Weapon,Harbinger of Dawn,3-Star,2020-12-06 17:33:12,char
Weapon,Debate Club,3-Star,2020-12-06 17:33:24,char
Weapon,Black Tassel,3-Star,2020-12-06 17:33:35,char
Weapon,Cool Steel,3-Star,2020-12-06 22:51:42,char
Weapon,Debate Club,3-Star,2020-12-07 21:32:25,char
Weapon,Raven Bow,3-Star,2020-12-07 21:32:40,char
Weapon,Slingshot,3-Star,2020-12-08 01:31:03,char
Weapon,Slingshot,3-Star,2020-12-08 13:33:22,char
Weapon,Harbinger of Dawn,3-Star,2020-12-08 14:22:09,permanent
Character,Chongyun,4-Star,2020-12-08 18:07:29,char
Weapon,Ferrous Shadow,3-Star,2020-12-09 00:48:56,char
Weapon,Emerald Orb,3-Star,2020-12-10 00:53:30,char
Weapon,Raven Bow,3-Star,2020-12-10 14:16:09,char
Weapon,Black Tassel,3-Star,2020-12-10 22:26:33,char
Weapon,Black Tassel,3-Star,2020-12-11 02:17:57,permanent
Weapon,Sharpshooter's Oath,3-Star,2020-12-11 22:03:40,char
Weapon,Slingshot,3-Star,2020-12-11 22:03:57,char
Weapon,Debate Club,3-Star,2020-12-12 03:00:27,char
Weapon,Cool Steel,3-Star,2020-12-12 12:05:59,char
Weapon,Ferrous Shadow,3-Star,2020-12-12 17:30:06,char
Character,Razor,4-Star,2020-12-13 02:38:49,char
Weapon,Debate Club,3-Star,2020-12-16 01:21:00,permanent
Weapon,Raven Bow,3-Star,2020-12-16 23:09:07,char
Weapon,Magic Guide,3-Star,2020-12-16 23:09:07,char
Weapon,Sharpshooter's Oath,3-Star,2020-12-16 23:09:07,char
Weapon,Debate Club,3-Star,2020-12-16 23:09:07,char
Weapon,Magic Guide,3-Star,2020-12-16 23:09:07,char
Weapon,Bloodtainted Greatsword,3-Star,2020-12-16 23:09:07,char
Weapon,Bloodtainted Greatsword,3-Star,2020-12-16 23:09:07,char
Weapon,Black Tassel,3-Star,2020-12-16 23:09:07,char
Weapon,Sharpshooter's Oath,3-Star,2020-12-16 23:09:07,char
Character,Xinyan,4-Star,2020-12-16 23:09:07,char
Weapon,Skyrider Sword,3-Star,2020-12-17 02:40:56,char
Weapon,Bloodtainted Greatsword,3-Star,2020-12-17 02:41:11,char
Weapon,The Flute,4-Star,2020-12-17 02:41:25,char
Character,Razor,4-Star,2020-12-17 02:41:54,char
Character,Barbara,4-Star,2020-12-18 00:13:38,char
Weapon,Emerald Orb,3-Star,2020-12-18 00:13:38,char
Weapon,Raven Bow,3-Star,2020-12-18 00:13:38,char
Weapon,Cool Steel,3-Star,2020-12-18 00:13:38,char
Weapon,Emerald Orb,3-Star,2020-12-18 00:13:38,char
Weapon,Emerald Orb,3-Star,2020-12-18 00:13:38,char
Weapon,Black Tassel,3-Star,2020-12-18 00:13:38,char
Weapon,Thrilling Tales of Dragon Slayers,3-Star,2020-12-18 00:13:38,char
Weapon,Skyrider Sword,3-Star,2020-12-18 00:13:38,char
Weapon,Raven Bow,3-Star,2020-12-18 00:13:38,char
Weapon,Black Tassel,3-Star,2020-12-19 16:07:19,char
Weapon,Bloodtainted Greatsword,3-Star,2020-12-20 01:38:21,char
Character,Xinyan,4-Star,2020-12-20 01:57:40,char
